p.value	p.adjust	chi_square_statistic	Gene	n_cond1	n_cond2	n_samples_cond1	n_samples_cond2	n_possible_sites_cond1	n_possible_sites_cond2	p.adjust2
3.12E-29	5.52E-27	125.9726152	RP11-498C9.15	9	56	22	8	528	192	6.14E-24
9.10E-29	1.52E-26	123.8463821	RP11-613M10.9	7	54	22	8	726	264	1.70E-23
8.96E-29	1.52E-26	123.8784951	ZNF346	2	47	22	8	616	224	1.70E-23
1.30E-28	2.12E-26	123.1402861	MARK3	2	47	22	8	682	248	2.35E-23
3.05E-28	4.85E-26	121.44683	RBM14-RBM4	3	46	22	8	374	136	5.38E-23
3.94E-28	6.10E-26	120.9415409	CCT8	0	40	22	8	242	88	6.76E-23
1.12E-27	1.69E-25	118.8660071	NUP98	47	93	22	8	1584	576	1.88E-22
1.67E-27	2.47E-25	118.0700302	GDPD1	3	43	22	8	242	88	2.73E-22
1.74E-27	2.51E-25	117.9896545	RP11-760H22.2	0	41	22	8	396	144	2.78E-22
2.37E-27	3.33E-25	117.3831989	CMSS1	5	46	22	8	286	104	3.68E-22
4.43E-27	6.11E-25	116.1377165	COG7	1	41	22	8	308	112	6.74E-22
6.15E-27	8.28E-25	115.4902126	DAP3	32	76	22	8	748	272	9.13E-22
6.67E-27	8.80E-25	115.3272334	RP11-1021N1.1	0	40	22	8	374	136	9.69E-22
2.07E-25	2.67E-23	108.5221541	XPNPEP3	1	40	22	8	484	176	2.93E-20
2.42E-25	3.06E-23	108.2105273	RNF114	1	40	22	8	506	184	3.36E-20
2.63E-25	3.26E-23	108.041064	EIF3M	1	39	22	8	352	128	3.58E-20
4.67E-25	5.67E-23	106.9054871	HKR1	2	41	22	8	506	184	6.22E-20
1.08E-24	1.29E-22	105.2458407	DNAJC24	0	37	22	8	396	144	1.41E-19
1.29E-24	1.50E-22	104.8985493	MIS18BP1	6	46	22	8	616	224	1.65E-19
1.49E-24	1.71E-22	104.6011936	EZH2	14	55	22	8	660	240	1.88E-19
2.25E-24	2.53E-22	103.7910368	ANAPC16	1	38	22	8	396	144	2.77E-19
3.38E-24	3.74E-22	102.9839857	NT5C2	20	62	22	8	1232	448	4.08E-19
3.56E-24	3.87E-22	102.8785031	KMT2E	11	52	22	8	924	336	4.23E-19
6.11E-24	6.53E-22	101.8097101	NDUFV3	1	38	22	8	528	192	7.12E-19
6.47E-24	6.79E-22	101.6980197	SMEK1	3	41	22	8	594	216	7.40E-19
7.60E-24	7.76E-22	101.3770733	NR2C1	2	39	22	8	462	168	8.45E-19
7.64E-24	7.76E-22	101.3675653	RPS20	0	36	22	8	440	160	8.45E-19
1.35E-23	1.35E-21	100.2351226	WSB1	1	37	22	8	418	152	1.47E-18
1.61E-23	1.58E-21	99.89705417	SFT2D1	1	34	22	8	176	64	1.71E-18
3.00E-23	2.91E-21	98.65699518	KAT6B	12	51	22	8	704	256	3.15E-18
3.43E-23	3.27E-21	98.39562731	ZNF397	1	36	22	8	352	128	3.54E-18
4.84E-23	4.54E-21	97.71355988	AC002310.13	2	38	22	8	506	184	4.91E-18
2.43E-22	2.21E-20	94.51798202	TAF15	1	34	22	8	264	96	2.39E-17
2.43E-22	2.21E-20	94.51798202	ZNF69	1	34	22	8	264	96	2.39E-17
2.47E-22	2.22E-20	94.48428061	TTC19	3	38	22	8	440	160	2.39E-17
6.65E-22	5.89E-20	92.525133	RN7SL498P	1	34	22	8	330	120	6.35E-17
8.21E-22	7.08E-20	92.10706096	PAFAH1B1	11	48	22	8	858	312	7.62E-17
8.22E-22	7.08E-20	92.10448642	RPL22	0	33	22	8	440	160	7.62E-17
8.35E-22	7.09E-20	92.07490809	SNURF	1	33	22	8	242	88	7.62E-17
8.82E-22	7.39E-20	91.96551376	SPC24	2	35	22	8	308	112	7.93E-17
1.25E-21	1.03E-19	91.28160511	RP3-475N16.1	8	42	22	8	330	120	1.10E-16
1.38E-21	1.13E-19	91.07302296	CTC-444N24.11	2	34	22	8	242	88	1.21E-16
1.42E-21	1.14E-19	91.02564113	ZNF506	2	36	22	8	572	208	1.22E-16
1.75E-21	1.39E-19	90.61458453	ARHGAP11B	1	34	22	8	440	160	1.48E-16
2.26E-21	1.77E-19	90.10714286	SYMPK	1	34	22	8	484	176	1.89E-16
2.39E-21	1.85E-19	89.99534739	RPS20	0	31	22	8	242	88	1.98E-16
4.73E-21	3.62E-19	88.64169034	STK4	0	30	22	8	198	72	3.86E-16
6.36E-21	4.81E-19	88.05737727	GART	3	36	22	8	462	168	5.12E-16
7.87E-21	5.88E-19	87.63536096	TXN	3	33	22	8	176	64	6.26E-16
9.84E-21	7.26E-19	87.19436906	LCOR	8	42	22	8	528	192	7.72E-16
1.88E-20	1.37E-18	85.91209893	KCTD20	8	42	22	8	660	240	1.46E-15
2.08E-20	1.50E-18	85.71656762	SENP6	5	38	22	8	528	192	1.59E-15
2.49E-20	1.71E-18	85.35866477	RP11-512M8.5	0	30	22	8	286	104	1.82E-15
2.49E-20	1.71E-18	85.35866477	STAG2	0	30	22	8	286	104	1.82E-15
2.49E-20	1.71E-18	85.35866477	FCF1	0	30	22	8	286	104	1.82E-15
2.49E-20	1.71E-18	85.35866477	RBBP9	0	30	22	8	286	104	1.82E-15
2.70E-20	1.84E-18	85.19461589	XPOT	0	29	22	8	198	72	1.95E-15
4.07E-20	2.74E-18	84.38412907	LINC00843	2	32	22	8	242	88	2.90E-15
5.71E-20	3.80E-18	83.71715199	PABPC1	0	30	22	8	374	136	4.01E-15
8.30E-20	5.48E-18	82.976216	AHR	0	28	22	8	176	64	5.77E-15
9.52E-20	6.21E-18	82.70655561	RBM39	0	29	22	8	264	96	6.54E-15
1.84E-19	1.19E-17	81.40699336	YME1L1	4	34	22	8	286	104	1.25E-14
6.32E-19	4.04E-17	78.96493484	STX2	0	28	22	8	286	104	4.25E-14
9.57E-19	5.99E-17	78.14566116	HINFP	1	29	22	8	264	96	6.29E-14
9.51E-19	5.99E-17	78.15887645	CEP78	0	28	22	8	330	120	6.29E-14
9.81E-19	6.08E-17	78.09772995	BAZ1B	5	35	22	8	418	152	6.37E-14
1.10E-18	6.72E-17	77.87908381	APOBEC3D	0	24	22	8	88	32	7.04E-14
1.31E-18	7.97E-17	77.52455877	ANKRD10	0	27	22	8	220	80	8.33E-14
1.53E-18	9.22E-17	77.21533517	RNF125	2	31	22	8	440	160	9.64E-14
1.59E-18	9.48E-17	77.14141819	LENG8-AS1	4	33	22	8	330	120	9.90E-14
1.86E-18	1.10E-16	76.83374587	INIP	0	27	22	8	242	88	1.14E-13
2.48E-18	1.45E-16	76.26740377	CTSB	0	27	22	8	264	96	1.51E-13
2.78E-18	1.61E-16	76.03645187	POLR1D	0	26	22	8	176	64	1.68E-13
2.83E-18	1.62E-16	76.0065345	GPR107	4	33	22	8	396	144	1.69E-13
2.87E-18	1.63E-16	75.97659172	H2AFV	27	57	22	8	902	328	1.70E-13
3.28E-18	1.85E-16	75.71340945	ZNF652	4	33	22	8	418	152	1.92E-13
4.04E-18	2.25E-16	75.30395741	BAZ1A	3	32	22	8	550	200	2.34E-13
4.22E-18	2.33E-16	75.2161349	STX5	4	33	22	8	462	168	2.42E-13
4.65E-18	2.55E-16	75.02367126	C19orf53	0	26	22	8	198	72	2.64E-13
4.87E-18	2.65E-16	74.93301859	FOXRED2	1	28	22	8	264	96	2.74E-13
7.79E-18	4.20E-16	74.0067366	KAT8	1	28	22	8	308	112	4.33E-13
8.34E-18	4.45E-16	73.87156909	KIAA0101	0	27	22	8	440	160	4.60E-13
1.02E-17	5.40E-16	73.4751408	SLC35E3	3	31	22	8	418	152	5.57E-13
1.43E-17	7.51E-16	72.8067392	SLC2A3	1	28	22	8	396	144	7.74E-13
1.58E-17	8.21E-16	72.61522199	RAB2B	0	25	22	8	176	64	8.44E-13
1.65E-17	8.51E-16	72.5273002	ZNF101	2	29	22	8	330	120	8.75E-13
1.88E-17	9.64E-16	72.2649188	CDKAL1	16	45	22	8	594	216	9.90E-13
2.19E-17	1.11E-15	71.96581831	PSPC1	11	40	22	8	572	208	1.14E-12
2.24E-17	1.13E-15	71.91944913	EMID1	1	28	22	8	506	184	1.16E-12
2.29E-17	1.14E-15	71.87345002	ZNF69	24	53	22	8	1012	368	1.17E-12
2.28E-17	1.14E-15	71.88838505	MDM2	0	24	22	8	132	48	1.17E-12
3.07E-17	1.51E-15	71.296875	PFDN5	2	28	22	8	242	88	1.54E-12
3.44E-17	1.68E-15	71.07173175	EFTUD2	5	33	22	8	528	192	1.72E-12
3.66E-17	1.77E-15	70.95136089	MAPK1IP1L	6	34	22	8	484	176	1.81E-12
3.78E-17	1.82E-15	70.88669701	CHD4	1	27	22	8	308	112	1.85E-12
4.40E-17	2.10E-15	70.59075936	FDPS	7	35	22	8	484	176	2.13E-12
4.49E-17	2.12E-15	70.5507411	LINC00426	1	27	22	8	330	120	2.16E-12
4.88E-17	2.29E-15	70.38319672	HTRA4	0	25	22	8	242	88	2.33E-12
5.19E-17	2.42E-15	70.26269185	BDP1	3	30	22	8	440	160	2.46E-12
6.53E-17	3.02E-15	69.80966013	TGIF2-C20orf24	14	43	22	8	990	360	3.06E-12
6.79E-17	3.12E-15	69.73331541	CRYZL1	3	30	22	8	506	184	3.16E-12
8.28E-17	3.77E-15	69.34242907	CBFB	6	33	22	8	374	136	3.82E-12
8.78E-17	3.97E-15	69.22585227	ABI1	0	24	22	8	176	64	4.02E-12
1.00E-16	4.51E-15	68.961796	ZFAND1	3	29	22	8	308	112	4.55E-12
1.60E-16	7.15E-15	68.03724745	TXNL1	5	32	22	8	550	200	7.22E-12
1.77E-16	7.83E-15	67.84539474	RP11-453F18__B.1	16	44	22	8	880	320	7.89E-12
2.01E-16	8.82E-15	67.59717988	DENND4A	16	44	22	8	946	344	8.88E-12
2.47E-16	1.08E-14	67.18979779	SLC25A3	0	24	22	8	242	88	1.08E-11
3.59E-16	1.54E-14	66.45167105	NDUFC2	1	25	22	8	220	80	1.55E-11
3.59E-16	1.54E-14	66.45167105	RP11-690G19.3	1	25	22	8	220	80	1.55E-11
3.72E-16	1.59E-14	66.37989207	POMP	2	27	22	8	330	120	1.59E-11
4.06E-16	1.72E-14	66.20687694	ACBD5	4	29	22	8	264	96	1.73E-11
5.57E-16	2.35E-14	65.58238636	ZNF320	0	24	22	8	352	128	2.35E-11
6.18E-16	2.59E-14	65.37997159	PSPC1	0	24	22	8	374	136	2.59E-11
7.11E-16	2.96E-14	65.10124458	COLGALT1	0	23	22	8	198	72	2.96E-11
9.28E-16	3.83E-14	64.57762494	TMEM106A	4	29	22	8	352	128	3.83E-11
1.00E-15	4.10E-14	64.43093804	TDG	5	30	22	8	330	120	4.09E-11
1.02E-15	4.14E-14	64.40035304	SRGN	2	26	22	8	264	96	4.12E-11
1.07E-15	4.33E-14	64.29839779	DPY19L2	4	29	22	8	374	136	4.31E-11
1.18E-15	4.73E-14	64.11053016	MGEA5	6	31	22	8	330	120	4.71E-11
1.21E-15	4.84E-14	64.05276601	RAP1B	6	32	22	8	682	248	4.81E-11
1.25E-15	4.98E-14	63.98524947	OIP5-AS1	2	26	22	8	286	104	4.94E-11
1.77E-15	6.98E-14	63.30690921	PTGES3	5	30	22	8	418	152	6.92E-11
1.84E-15	7.22E-14	63.22933884	NARG2	1	24	22	8	220	80	7.15E-11
2.06E-15	8.03E-14	63.00590645	VPS29	0	23	22	8	308	112	7.95E-11
3.05E-15	1.18E-13	62.23424838	SRSF11	29	52	22	8	638	232	1.17E-10
3.96E-15	1.53E-13	61.71852377	OSBPL1A	7	32	22	8	528	192	1.51E-10
4.09E-15	1.57E-13	61.65558618	ZNF730	6	31	22	8	594	216	1.54E-10
4.15E-15	1.58E-13	61.62859609	N4BP2L2	1	24	22	8	308	112	1.55E-10
5.15E-15	1.95E-13	61.2009924	ZNF823	0	21	22	8	132	48	1.92E-10
7.15E-15	2.69E-13	60.5562201	USP9X	10	35	22	8	660	240	2.64E-10
8.14E-15	3.04E-13	60.30182141	SMU1	2	25	22	8	330	120	2.98E-10
8.72E-15	3.24E-13	60.16613924	EIF4H	16	39	22	8	330	120	3.17E-10
9.33E-15	3.44E-13	60.03196023	SNRPN	1	23	22	8	220	80	3.37E-10
9.74E-15	3.57E-13	59.94825626	AKAP9	0	22	22	8	308	112	3.50E-10
1.23E-14	4.45E-13	59.49413715	VPS37B	3	26	22	8	330	120	4.35E-10
1.22E-14	4.45E-13	59.49669471	JPX	6	30	22	8	484	176	4.35E-10
1.25E-14	4.52E-13	59.45186109	RPL34	19	43	22	8	704	256	4.41E-10
1.40E-14	4.97E-13	59.22972373	CHKA	7	31	22	8	484	176	4.84E-10
1.42E-14	4.97E-13	59.21067064	NFAT5	4	27	22	8	308	112	4.84E-10
1.42E-14	4.97E-13	59.20836976	GNPNAT1	0	20	22	8	110	40	4.84E-10
1.42E-14	4.97E-13	59.20836976	MPHOSPH8	0	20	22	8	110	40	4.84E-10
1.42E-14	4.97E-13	59.20836976	RPL7L1	0	20	22	8	110	40	4.84E-10
1.56E-14	5.45E-13	59.0158752	R3HDM2	3	26	22	8	374	136	5.28E-10
1.69E-14	5.84E-13	58.86776559	NEMF	6	30	22	8	594	216	5.66E-10
1.91E-14	6.55E-13	58.62022766	STAM	0	21	22	8	198	72	6.34E-10
1.91E-14	6.55E-13	58.62022766	VPS41	0	21	22	8	198	72	6.34E-10
1.96E-14	6.66E-13	58.57663998	NACA	1	23	22	8	308	112	6.43E-10
1.98E-14	6.70E-13	58.55224321	SMARCA4	6	29	22	8	308	112	6.47E-10
2.30E-14	7.74E-13	58.25907125	SPAG9	9	33	22	8	594	216	7.46E-10
2.39E-14	7.97E-13	58.18034182	MVB12A	4	27	22	8	396	144	7.67E-10
2.38E-14	7.97E-13	58.18791946	RP11-201K10.3	5	28	22	8	352	128	7.67E-10
3.01E-14	9.98E-13	57.72816051	SOCS2-AS1	0	20	22	8	132	48	9.59E-10
3.11E-14	1.02E-12	57.66070241	EIF2AK2	189	147	22	8	1694	616	9.82E-10
3.12E-14	1.02E-12	57.65805623	SKP1	8	31	22	8	352	128	9.82E-10
3.54E-14	1.15E-12	57.40978049	SHCBP1	0	21	22	8	264	96	1.10E-09
3.54E-14	1.15E-12	57.40978049	RP11-212P7.3	0	21	22	8	264	96	1.10E-09
3.61E-14	1.17E-12	57.36818856	USP15	9	32	22	8	374	136	1.12E-09
4.20E-14	1.34E-12	57.0705616	EIF4B	2	24	22	8	352	128	1.28E-09
4.20E-14	1.34E-12	57.0705616	HNRNPC	2	24	22	8	352	128	1.28E-09
4.63E-14	1.47E-12	56.87895072	ITPA	2	24	22	8	374	136	1.40E-09
4.89E-14	1.55E-12	56.77201705	AREL1	3	25	22	8	308	112	1.47E-09
5.04E-14	1.58E-12	56.71538577	EMR2	0	20	22	8	154	56	1.50E-09
5.04E-14	1.58E-12	56.71538577	TMEM241	0	20	22	8	154	56	1.50E-09
5.59E-14	1.74E-12	56.51089981	GINS1	2	23	22	8	198	72	1.65E-09
5.83E-14	1.79E-12	56.42857176	GCNT2	9	32	22	8	462	168	1.70E-09
5.81E-14	1.79E-12	56.4334903	JOSD1	1	22	22	8	242	88	1.70E-09
5.83E-14	1.79E-12	56.42736003	PAAF1	18	41	22	8	748	272	1.70E-09
6.90E-14	2.11E-12	56.09682656	RABGEF1	6	29	22	8	594	216	1.99E-09
8.83E-14	2.68E-12	55.61139468	ZNF121	0	19	22	8	110	40	2.53E-09
1.22E-13	3.68E-12	54.97972482	FOXO1	1	22	22	8	374	136	3.47E-09
1.31E-13	3.94E-12	54.83584797	CPSF7	1	22	22	8	396	144	3.71E-09
1.37E-13	4.09E-12	54.7547627	MORF4L1	6	28	22	8	374	136	3.85E-09
2.13E-13	6.35E-12	53.87961648	STX12	9	31	22	8	440	160	5.97E-09
2.25E-13	6.66E-12	53.7771802	UHRF2	3	24	22	8	308	112	6.25E-09
2.26E-13	6.66E-12	53.76765225	DYNC1H1	2	23	22	8	396	144	6.25E-09
2.32E-13	6.82E-12	53.7118549	OSGEP	1	21	22	8	220	80	6.39E-09
2.42E-13	7.07E-12	53.63062969	CTC-429P9.4	2	23	22	8	418	152	6.62E-09
2.72E-13	7.89E-12	53.39858526	CLPX	0	19	22	8	154	56	7.37E-09
2.72E-13	7.89E-12	53.39858526	MAGT1	0	19	22	8	154	56	7.37E-09
3.00E-13	8.66E-12	53.20619189	CTD-3222D19.2	13	35	22	8	616	224	8.08E-09
3.31E-13	9.51E-12	53.01264732	ACYP1	1	21	22	8	264	96	8.86E-09
3.89E-13	1.11E-11	52.69764942	KMT2C	8	30	22	8	660	240	1.03E-08
4.04E-13	1.15E-11	52.62281719	APOLD1	8	30	22	8	682	248	1.07E-08
4.37E-13	1.24E-11	52.46816947	PDS5A	50	64	22	8	1320	480	1.15E-08
4.55E-13	1.28E-11	52.38885338	NDE1	6	27	22	8	330	120	1.19E-08
5.07E-13	1.42E-11	52.17661379	USP33	20	41	22	8	792	288	1.32E-08
5.99E-13	1.67E-11	51.85119362	ICOSLG	0	19	22	8	220	80	1.55E-08
6.73E-13	1.87E-11	51.62167129	ADNP	11	32	22	8	418	152	1.73E-08
7.04E-13	1.95E-11	51.53441784	MBD3	0	19	22	8	242	88	1.80E-08
7.85E-13	2.16E-11	51.31867198	USP47	2	22	22	8	330	120	2.00E-08
9.66E-13	2.65E-11	50.91224747	PSMD12	0	18	22	8	132	48	2.44E-08
1.02E-12	2.79E-11	50.80434001	NF1	3	23	22	8	308	112	2.57E-08
1.07E-12	2.87E-11	50.71713443	METAP2	2	22	22	8	418	152	2.64E-08
1.07E-12	2.87E-11	50.71713443	RP3-368A4.5	2	22	22	8	418	152	2.64E-08
1.06E-12	2.87E-11	50.72306494	RP5-1158E12.3	12	32	22	8	308	112	2.64E-08
1.33E-12	3.56E-11	50.29110993	SMG6	13	34	22	8	704	256	3.26E-08
1.40E-12	3.72E-11	50.18469965	FKBP3	0	17	22	8	88	32	3.41E-08
1.40E-12	3.72E-11	50.18469965	PPIA	0	17	22	8	88	32	3.41E-08
1.45E-12	3.83E-11	50.11230739	FBXL20	10	31	22	8	638	232	3.50E-08
1.45E-12	3.83E-11	50.11363636	C15orf40	0	15	22	8	44	16	3.50E-08
1.46E-12	3.84E-11	50.10020627	RP11-762I7.5	21	41	22	8	836	304	3.50E-08
1.77E-12	4.64E-11	49.72098214	MDM2	5	25	22	8	330	120	4.22E-08
1.81E-12	4.72E-11	49.67553939	PILRB	4	24	22	8	374	136	4.30E-08
2.06E-12	5.33E-11	49.42973624	FBXO34	19	39	22	8	792	288	4.85E-08
2.93E-12	7.52E-11	48.73775254	C9orf41	6	26	22	8	418	152	6.83E-08
2.91E-12	7.52E-11	48.74576886	GLTSCR1L	0	18	22	8	220	80	6.83E-08
3.68E-12	9.44E-11	48.28589109	UBOX5	4	23	22	8	242	88	8.55E-08
3.79E-12	9.65E-11	48.2326555	TMPO	0	18	22	8	264	96	8.74E-08
3.85E-12	9.78E-11	48.19911608	SIAH1	2	21	22	8	352	128	8.84E-08
3.97E-12	1.00E-10	48.13852163	RNF34	8	28	22	8	484	176	9.07E-08
4.07E-12	1.03E-10	48.08826276	UBR1	3	22	22	8	286	104	9.26E-08
4.89E-12	1.23E-10	47.73023201	RBX1	0	18	22	8	330	120	1.11E-07
5.52E-12	1.38E-10	47.49137581	ZNF439	1	19	22	8	220	80	1.24E-07
6.01E-12	1.50E-10	47.32556232	PTEN	3	22	22	8	374	136	1.35E-07
6.97E-12	1.73E-10	47.03523852	GPATCH2L	2	20	22	8	198	72	1.55E-07
7.35E-12	1.81E-10	46.93265374	ZNF700	1	19	22	8	264	96	1.63E-07
7.59E-12	1.87E-10	46.86938918	GNL3L	0	17	22	8	154	56	1.67E-07
8.41E-12	2.06E-10	46.66866029	ZNF626	4	23	22	8	396	144	1.84E-07
8.61E-12	2.09E-10	46.62165928	VTI1A	2	20	22	8	220	80	1.87E-07
8.61E-12	2.09E-10	46.62165928	CPT1A	2	20	22	8	220	80	1.87E-07
8.98E-12	2.17E-10	46.53974134	GSPT1	4	23	22	8	418	152	1.94E-07
9.86E-12	2.38E-10	46.35564631	SRD5A3	118	2	22	8	440	160	2.12E-07
1.18E-11	2.84E-10	45.99724404	STXBP5	48	57	22	8	550	200	2.53E-07
1.20E-11	2.87E-10	45.9695816	POLB	0	17	22	8	198	72	2.56E-07
1.32E-11	3.14E-10	45.78816573	CCNL2	111	0	22	8	550	200	2.79E-07
1.39E-11	3.30E-10	45.68244485	SYNRG	3	21	22	8	242	88	2.93E-07
1.44E-11	3.42E-10	45.60826743	ELF1	14	33	22	8	704	256	3.03E-07
1.62E-11	3.82E-10	45.38238934	JARID2	20	38	22	8	748	272	3.38E-07
1.77E-11	4.16E-10	45.21012301	ATM	0	17	22	8	264	96	3.67E-07
1.80E-11	4.20E-10	45.18251099	RRP12	1	18	22	8	176	64	3.71E-07
1.84E-11	4.28E-10	45.13779573	ATAD5	3	21	22	8	286	104	3.77E-07
1.87E-11	4.32E-10	45.10227273	CTD-2583A14.10	0	15	22	8	66	24	3.81E-07
1.87E-11	4.32E-10	45.10227273	METTL2B	0	15	22	8	66	24	3.81E-07
2.65E-11	6.11E-10	44.41874968	NUP93	1	18	22	8	220	80	5.37E-07
3.28E-11	7.52E-10	44.00422522	MOB1B	13	31	22	8	462	168	6.60E-07
3.76E-11	8.59E-10	43.73630528	EP300	1	18	22	8	286	104	7.54E-07
3.88E-11	8.85E-10	43.67224548	SH3GL1	5	23	22	8	374	136	7.75E-07
3.91E-11	8.85E-10	43.65607793	RP11-349A22.5	0	16	22	8	154	56	7.75E-07
3.91E-11	8.85E-10	43.65607793	MTPAP	0	16	22	8	154	56	7.75E-07
4.37E-11	9.82E-10	43.43968211	DGKD	1	18	22	8	330	120	8.57E-07
4.36E-11	9.82E-10	43.44417314	PIGH	4	22	22	8	484	176	8.57E-07
4.92E-11	1.09E-09	43.21022727	PNN	1	17	22	8	132	48	9.51E-07
4.92E-11	1.09E-09	43.21060775	ZNF70	0	16	22	8	176	64	9.51E-07
4.92E-11	1.09E-09	43.21060775	VPS53	0	16	22	8	176	64	9.51E-07
5.85E-11	1.29E-09	42.87036675	COA4	0	16	22	8	198	72	1.12E-06
5.85E-11	1.29E-09	42.87036675	BRI3BP	0	16	22	8	198	72	1.12E-06
5.85E-11	1.29E-09	42.87036675	LONP2	0	16	22	8	198	72	1.12E-06
6.71E-11	1.46E-09	42.60200764	AOAH	0	16	22	8	220	80	1.27E-06
6.71E-11	1.46E-09	42.60200764	SLC25A27	0	16	22	8	220	80	1.27E-06
6.79E-11	1.48E-09	42.57901278	RBM28	2	18	22	8	132	48	1.27E-06
6.86E-11	1.49E-09	42.55952381	ZBED4	5	22	22	8	220	80	1.28E-06
7.16E-11	1.55E-09	42.47568597	MYB	24	40	22	8	880	320	1.33E-06
7.53E-11	1.62E-09	42.37585943	LUC7L3	2	19	22	8	352	128	1.39E-06
7.89E-11	1.69E-09	42.28530688	CDK17	18	35	22	8	726	264	1.45E-06
9.47E-11	2.02E-09	41.92712435	ZMYND8	0	16	22	8	308	112	1.74E-06
1.21E-10	2.58E-09	41.44451872	PRC1	4	21	22	8	330	120	2.21E-06
1.22E-10	2.58E-09	41.4385468	MACC1	3	19	22	8	154	56	2.21E-06
1.42E-10	3.01E-09	41.1328125	HEATR3	1	17	22	8	242	88	2.57E-06
1.52E-10	3.21E-09	41.00206612	PRR11	0	15	22	8	132	48	2.74E-06
1.96E-10	4.11E-09	40.50958807	LARS	1	17	22	8	330	120	3.51E-06
2.22E-10	4.66E-09	40.25981413	TAF2	7	24	22	8	462	168	3.97E-06
2.37E-10	4.95E-09	40.13191172	RP11-139J15.7	4	20	22	8	198	72	4.22E-06
2.42E-10	5.03E-09	40.09090909	DDI2	0	15	22	8	176	64	4.27E-06
2.42E-10	5.03E-09	40.09090909	ZNF432	0	15	22	8	176	64	4.27E-06
2.66E-10	5.49E-09	39.91250723	PAN3	28	42	22	8	1122	408	4.65E-06
2.82E-10	5.80E-09	39.79612299	LYRM5	0	15	22	8	198	72	4.92E-06
2.92E-10	6.00E-09	39.72644632	LINC00467	15	31	22	8	484	176	5.07E-06
3.18E-10	6.50E-09	39.56339713	DUSP18	0	15	22	8	220	80	5.49E-06
3.26E-10	6.65E-09	39.51198714	HNRNPA1L2	3	19	22	8	264	96	5.61E-06
3.38E-10	6.86E-09	39.44299804	UPF3A	0	14	22	8	88	32	5.79E-06
